ITEM   	 LEN_P 	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
aba	   -  	   3	   1		-1	-1	-1	-1	
abatement	   8	   9	   1	   1	 644	-1	 189	-1	
abdicates	   -  	   9	   1		-1	-1	-1	-1	
abdomen	   7	   7	   0	   0	 556	-1	 548	-1	
abductee	   -  	   8	   1		-1	-1	-1	-1	
abductees	   -  	   9	   0		-1	-1	-1	-1	
abduction	   7	   9	   0	   0	-1	-1	 463	-1	
abductions	   -  	  10	   0		-1	-1	-1	-1	
abductors	   -  	   9	   0		-1	-1	-1	-1	
abeyance	   6	   8	   0	   0	-1	-1	-1	-1	
abortion	   5	   8	   0	   2	-1	-1	-1	-1	
abortions	   6	   9	   0	   1	-1	-1	-1	-1	
aboveboard	   -  	  10	   0		-1	-1	-1	-1	
abrasion	   -  	   8	   0		-1	-1	-1	-1	
abrasions	   -  	   9	   0		-1	-1	-1	-1	
abruptness	   9	  10	   0	   0	-1	-1	-1	-1	
absences	   8	   8	   0	   0	-1	-1	-1	-1	
absentee	   7	   8	   0	   1	-1	-1	-1	-1	
absentees	   8	   9	   0	   1	-1	-1	-1	-1	
absolutes	   -  	   9	   0		-1	-1	-1	-1	
absorber	   -  	   8	   1		-1	-1	-1	-1	
absorbers	   -  	   9	   0		-1	-1	-1	-1	
absorption	   7	  10	   0	   0	-1	-1	-1	-1	
abstention	   8	  10	   0	   0	-1	-1	-1	-1	
abstinence	   9	  10	   0	   0	-1	-1	-1	-1	
absurdist	   -  	   9	   0		-1	-1	-1	-1	
abundance	   8	   9	   0	   1	 519	-1	 386	-1	
abuser	   -  	   6	   2		-1	-1	-1	-1	
abusers	   -  	   7	   0		-1	-1	-1	-1	
academe	   -  	   7	   1		-1	-1	-1	-1	
acceptance	   9	  10	   0	   0	-1	-1	-1	-1	
accession	   6	   9	   0	   1	-1	-1	-1	-1	
accident	   8	   8	   0	   1	 329	-1	 518	-1	
accidents	   9	   9	   0	   1	-1	-1	-1	-1	
accolade	   6	   8	   0	   0	-1	-1	-1	-1	
accolades	   -  	   9	   0		-1	-1	-1	-1	
accompli	   -  	   8	   0		-1	-1	-1	-1	
accomplice	   8	  10	   0	   1	-1	-1	 391	-1	
accountant	   8	  10	   0	   0	-1	 526	-1	 604	
accrual	   -  	   7	   0		-1	-1	-1	-1	
accuser	   7	   7	   2	   1	 511	-1	 343	-1	
accusers	   7	   8	   0	   2	-1	-1	-1	-1	
acetate	   6	   7	   0	   1	-1	-1	-1	-1	
achievers	   -  	   9	   0		-1	-1	-1	-1	
acolyte	   6	   7	   0	   1	-1	-1	-1	-1	
acolytes	   7	   8	   0	   1	-1	-1	-1	-1	
acoustics	   8	   9	   0	   1	-1	-1	-1	-1	
acquittal	   6	   9	   0	   0	-1	-1	-1	-1	
acquittals	   -  	  10	   0		-1	-1	-1	-1	
acreage	   6	   7	   0	   0	-1	-1	-1	-1	
acronym	   7	   7	   0	   0	-1	-1	-1	-1	
acronyms	   -  	   8	   0		-1	-1	-1	-1	
acrylics	   -  	   8	   0		-1	-1	-1	-1	
activist	   8	   8	   1	   1	-1	-1	-1	-1	
activists	   9	   9	   0	   1	-1	-1	-1	-1	
actresses	   8	   9	   0	   0	-1	-1	-1	-1	
acumen	   7	   6	   0	   0	-1	-1	 229	-1	
acuteness	   -  	   9	   0		-1	-1	-1	-1	
adapter	   -  	   7	   1		-1	-1	-1	-1	
adaptor	   -  	   7	   0		-1	-1	-1	-1	
adaptors	   -  	   8	   0		-1	-1	-1	-1	
addendum	   7	   8	   0	   0	-1	-1	-1	-1	
addendums	   -  	   9	   0		-1	-1	-1	-1	
addiction	   6	   9	   0	   1	-1	-1	-1	-1	
additions	   6	   9	   1	   4	-1	-1	-1	-1	
additives	   7	   9	   0	   1	-1	-1	-1	-1	
addressee	   6	   9	   2	   0	-1	-1	-1	-1	
adenoids	   7	   8	   0	   0	-1	-1	-1	-1	
adherence	   8	   9	   0	   1	 603	-1	 326	-1	
adherent	   -  	   8	   0		-1	-1	-1	-1	
adherents	   9	   9	   0	   1	-1	-1	-1	-1	
adhesion	   -  	   8	   0		-1	-1	-1	-1	
adhesives	   -  	   9	   0		-1	-1	-1	-1	
adjective	   7	   9	   0	   1	-1	-1	 394	-1	
adjectives	   8	  10	   0	   2	-1	-1	-1	-1	
adjuster	   -  	   8	   1		-1	-1	-1	-1	
adjusters	   -  	   9	   0		-1	-1	-1	-1	
adjustment	   9	  10	   0	   0	-1	-1	-1	-1	
adjutant	   7	   8	   0	   0	-1	-1	-1	-1	
admirals	   8	   8	   0	   1	-1	-1	-1	-1	
admirer	   8	   7	   2	   1	-1	-1	-1	-1	
admirers	   8	   8	   0	   1	-1	-1	-1	-1	
admission	   6	   9	   0	   2	 458	-1	 389	-1	
admittance	   8	  10	   0	   0	-1	-1	-1	-1	
adobe	   5	   5	   1	   0	-1	-1	-1	-1	
adopter	   -  	   7	   1		-1	-1	-1	-1	
adoption	   6	   8	   0	   1	-1	-1	-1	-1	
adoptions	   7	   9	   0	   1	-1	-1	-1	-1	
adornment	   8	   9	   0	   1	-1	-1	-1	-1	
ads	   3	   3	   4	   9	-1	-1	-1	-1	
adulthood	   8	   9	   0	   0	-1	-1	-1	-1	
